resource_id,service,resource_group,owner,cost
res-25,Database,rg-c,team-A,574.8794
res-31,Database,rg-a,team-D,564.6674
res-13,Compute,rg-c,team-B,537.5314
res-49,Compute,rg-b,team-A,491.209
res-35,Database,rg-c,team-B,482.7948
res-9,Compute,rg-c,team-D,457.2902
res-44,Database,rg-b,team-A,446.6752
res-50,Storage,rg-c,team-B,419.3156
res-52,Database,rg-c,team-B,370.0188
res-60,Networking,rg-b,team-A,363.4042
res-12,Database,rg-a,team-B,361.5262
res-56,Compute,rg-a,team-B,351.6612
res-36,Networking,rg-c,team-B,349.3022
res-57,Storage,rg-c,team-A,343.613
res-10,Compute,rg-a,team-B,337.262
res-54,Database,rg-a,team-B,331.1718
res-30,Compute,rg-c,team-D,318.0024
res-27,Compute,rg-a,team-C,317.1602
res-21,Networking,rg-a,team-A,313.0612
res-29,Compute,rg-c,team-D,295.351
res-2,Database,rg-c,team-B,291.7618
res-6,Database,rg-b,team-A,262.2514
res-23,Networking,rg-a,team-D,261.8548
res-59,Networking,rg-a,team-D,260.7614
res-19,Networking,rg-a,team-D,247.8014
res-46,Database,rg-b,team-C,245.1382
res-39,Networking,rg-c,team-D,241.8924
res-45,Compute,rg-b,team-B,232.089
res-58,Storage,rg-a,team-B,227.0478
res-40,Networking,rg-a,team-D,207.2122
res-18,Storage,rg-c,team-A,199.7148
res-7,Networking,rg-c,team-A,198.7172
res-3,Storage,rg-c,team-C,189.488
res-53,Database,rg-a,team-A,178.1154
res-22,Networking,rg-a,team-D,173.914
res-4,Database,rg-c,team-D,162.8382
res-42,Compute,rg-b,team-B,161.9898
res-28,Compute,rg-c,team-D,152.858
res-47,Database,rg-c,team-C,148.0036
res-41,Storage,rg-a,team-D,140.0478
res-5,Networking,rg-b,team-A,136.7434
res-1,Storage,rg-b,team-C,112.282
res-33,Networking,rg-c,team-D,110.5956
res-48,Networking,rg-c,team-B,110.489
res-32,Storage,rg-c,team-C,102.9428
res-24,Networking,rg-b,team-B,102.025
res-16,Database,rg-a,team-D,90.5368
res-37,Storage,rg-a,team-D,87.3554
res-26,Storage,rg-b,team-A,78.5376
res-43,Database,rg-a,team-D,63.3236
